"Beer Style",Taste Review
"Hefeweizen",1.5
"English Strong Ale",3.0
"Foreign / Export Stout",3.0
"German Pilsener",3.0
"American Double / Imperial IPA",4.5
"Herbed / Spiced Beer",3.5
"Herbed / Spiced Beer",4.0
"Herbed / Spiced Beer",3.5
"Herbed / Spiced Beer",4.0
"Herbed / Spiced Beer",4.0
"Herbed / Spiced Beer",4.0
"Herbed / Spiced Beer",4.0
"Herbed / Spiced Beer",3.0
"Herbed / Spiced Beer",4.0
"Oatmeal Stout",3.0
"Oatmeal Stout",2.0
"American Pale Lager",4.0
"Rauchbier",4.5
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",4.5
"Rauchbier",4.5
"Rauchbier",4.5
"Rauchbier",5.0
"Rauchbier",4.5
"Rauchbier",4.0
"Rauchbier",4.5
"Rauchbier",4.0
"Rauchbier",5.0
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",3.0
"Rauchbier",3.5
"Rauchbier",3.5
"Rauchbier",4.5
"Rauchbier",5.0
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",3.5
"Rauchbier",4.5
"Rauchbier",4.0
"Rauchbier",3.5
"Rauchbier",3.5
"Rauchbier",4.5
"Rauchbier",4.0
"Rauchbier",4.5
"Rauchbier",5.0
"Rauchbier",4.0
"Rauchbier",4.5
"Rauchbier",4.0
"Rauchbier",4.5
"Rauchbier",4.0
"Rauchbier",4.0
"Rauchbier",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",2.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",5.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",2.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",2.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",2.5
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",2.5
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",5.0
"American Pale Ale (APA)",5.0
"American Pale Ale (APA)",4.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.5
"American Pale Ale (APA)",4.0
"American Pale Ale (APA)",3.0
"American Porter",5.0
"American Porter",4.0
"American Porter",4.5
"American Porter",4.5
"American Porter",3.5
"American Porter",4.0
"American Porter",4.0
"American Porter",3.0
"American Porter",3.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",2.5
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",2.0
"Belgian Strong Dark Ale",2.5
"Belgian Strong Dark Ale",3.0
"Belgian Strong Dark Ale",4.0
"Belgian Strong Dark Ale",3.0
"Belgian Strong Dark Ale",3.5
"Belgian Strong Dark Ale",3.5
